127,292,736,276,736,295,736,295,0.99909055
95,223,736,215,736,234,736,234,0.9990213
95,268,640,259,640,277,640,277,0.9990132
78,570,688,528,689,551,689,551,0.9989794
78,514,416,497,417,518,417,518,0.9988926
127,362,752,339,752,359,752,359,0.99888664
95,181,720,173,720,191,720,191,0.9988709
95,247,736,234,736,252,736,252,0.99886984
96,53,704,60,704,76,704,76,0.9988574
96,73,720,75,720,92,720,92,0.99885345
96,93,720,98,720,115,720,115,0.99885035
240,57,704,58,704,74,704,74,0.9988438
78,464,752,429,753,449,753,449,0.9988373
78,490,752,452,753,472,753,472,0.99883276
79,388,752,361,752,381,752,381,0.99881244
95,202,720,195,720,212,720,212,0.9988091
96,21,240,24,240,41,240,41,0.998806
79,414,752,383,752,403,752,403,0.998793
95,117,720,117,720,132,720,132,0.9987884
127,157,720,153,720,171,720,171,0.9987822
96,135,288,137,288,152,288,152,0.998777
79,339,288,332,288,351,288,351,0.99877244
110,541,767,496,768,519,768,519,0.9987698
79,439,752,406,752,425,752,425,0.998765
79,316,736,298,736,316,736,316,0.998762
