0,595,607,594,607,613,607,613,0.9988727
15,372,607,371,607,389,607,389,0.9988391
0,562,208,564,208,583,208,583,0.9988072
0,642,607,641,607,660,607,660,0.9986167
0,689,607,688,607,707,607,707,0.9985744
48,197,592,197,592,213,592,213,0.9985612
15,437,256,436,256,454,256,454,0.99842703
31,36,144,31,144,47,144,47,0.9984048
31,73,592,73,592,89,592,89,0.998403
16,350,607,350,607,369,607,369,0.99838626
31,260,592,259,592,276,592,276,0.9983789
32,89,607,90,607,106,607,106,0.99837756
32,17,592,19,592,34,592,34,0.9983583
64,485,288,486,288,503,288,503,0.9983552
16,311,607,312,607,327,607,327,0.9983516
15,329,607,329,607,346,607,346,0.99830437
0,711,512,715,512,735,512,735,0.99827766
127,505,544,505,544,522,544,522,0.9982749
48,767,592,767,592,787,592,787,0.9982729
0,618,607,618,607,637,607,637,0.9982712
64,117,592,117,592,133,592,133,0.9982681
0,415,607,413,607,432,607,432,0.99826294
48,235,592,235,592,252,592,252,0.9982589
47,138,576,138,576,153,576,153,0.9982564
64,53,607,53,607,69,607,69,0.99823016
447,788,592,787,592,806,592,806,0.9982157
48,216,592,216,592,233,592,233,0.9982126
0,665,607,665,607,684,607,684,0.99820817
47,153,256,153,256,170,256,170,0.99819356
47,281,96,280,96,297,96,297,0.99818915
416,0,576,1,576,17,576,17,0.9981772
351,486,576,484,576,501,576,501,0.9981768
15,392,607,392,607,410,607,410,0.998161
32,177,607,178,607,195,607,195,0.99815625
192,281,304,281,304,297,304,297,0.9981535
