64,353,400,356,400,375,400,375,0.9987797
15,497,783,491,783,511,783,511,0.99875367
64,254,768,260,768,279,768,279,0.9987318
80,81,752,94,752,110,752,110,0.99871635
15,443,783,442,783,462,783,462,0.99871325
64,302,736,307,736,326,736,326,0.99871325
16,394,783,394,783,413,783,413,0.9987072
15,418,783,418,783,437,783,437,0.9987049
32,121,752,139,752,157,752,157,0.99869764
32,34,736,53,736,71,736,71,0.9986872
15,471,783,466,783,485,783,485,0.99868494
64,179,752,191,752,209,752,209,0.99868125
64,200,336,207,336,225,336,225,0.998679
48,156,752,169,752,187,752,187,0.9986687
64,230,768,239,768,257,768,257,0.99866664
64,278,768,284,768,302,768,302,0.99866056
48,329,768,335,768,355,768,355,0.99865985
32,55,192,58,192,75,192,75,0.9986576
32,14,736,32,736,50,736,50,0.99864084
32,101,752,116,752,133,752,133,0.99863905
0,524,783,517,783,538,783,538,0.9986333
0,552,352,546,352,567,352,567,0.9986326
